"City","FAA","IATA","ICAO","Airport","Role","Enplanements"
"Bloomington / Normal","BMI","BMI","KBMI","Central Illinois Regional Airport at Bloomington-Normal","P-N",274677
"Champaign / Urbana","CMI","CMI","KCMI","University of Illinois - Willard Airport","P-N",85715
"Chicago","ORD","ORD","KORD","Chicago O'Hare International Airport","P-L",32171831
"Chicago","MDW","MDW","KMDW","Chicago Midway International Airport","P-L",8518957
"Moline","MLI","MLI","KMLI","Quad City International Airport","P-S",477086
"Peoria","PIA","PIA","KPIA","General Downing - Peoria International Airport(was Greater Peoria Regional Airport)","P-N",249595
"Rockford","RFD","RFD","KRFD","Chicago Rockford International Airport","P-N",96974
"Springfield","SPI","SPI","KSPI","Abraham Lincoln Capital Airport","P-N",61413
"Evansville","EVV","EVV","KEVV","Evansville Regional Airport","P-N",193349
"Fort Wayne","FWA","FWA","KFWA","Fort Wayne International Airport","P-N",282449
"Indianapolis","IND","IND","KIND","Indianapolis International Airport","P-M",4061450
"South Bend","SBN","SBN","KSBN","South Bend Regional Airport","P-S",357168
"Cedar Rapids","CID","CID","KCID","The Eastern Iowa Airport","P-S",462670
"Des Moines","DSM","DSM","KDSM","Des Moines International Airport","P-S",898840
"Dubuque","DBQ","DBQ","KDBQ","Dubuque Regional Airport","P-N",33861
"Mason City","MCW","MCW","KMCW","Mason City Municipal Airport","P-N",13852
"Sioux City","SUX","SUX","KSUX","Sioux Gateway Airport (Col. Bud Day Field)","P-N",24704
"Waterloo","ALO","ALO","KALO","Waterloo Regional Airport","P-N",23206
"Garden City","GCK","GCK","KGCK","Garden City Regional Airport","P-N",10155
"Manhattan","MHK","MHK","KMHK","Manhattan Regional Airport","P-N",44603
"Wichita","ICT","ICT","KICT","Wichita Mid-Continent Airport","P-S",751601
"Covington","CVG","CVG","KCVG","Cincinnati/Northern Kentucky International Airport","P-M",3906826
"Lexington","LEX","LEX","KLEX","Blue Grass Airport","P-S",539492
"Louisville","SDF","SDF","KSDF","Louisville International Airport (Standiford Field)","P-M",1651037
"Owensboro","OWB","OWB","KOWB","Owensboro-Daviess County Regional Airport","P-N [nb 8]",16193
"Paducah","PAH","PAH","KPAH","Barkley Regional Airport","P-N",19903
"Alexandria","AEX","AEX","KAEX","Alexandria International Airport","P-N",179129
"Baton Rouge","BTR","BTR","KBTR","Baton Rouge Metropolitan Airport (Ryan Field)","P-S",382687
"Lafayette","LFT","LFT","KLFT","Lafayette Regional Airport","P-N",220211
"Lake Charles","LCH","LCH","KLCH","Lake Charles Regional Airport","P-N",65340
"Monroe","MLU","MLU","KMLU","Monroe Regional Airport","P-N",100419
"New Orleans","MSY","MSY","KMSY","Louis Armstrong New Orleans International Airport","P-M",4088037
"Shreveport","SHV","SHV","KSHV","Shreveport Regional Airport","P-N",237945
"Bangor","BGR","BGR","KBGR","Bangor International Airport","P-S",355508
"Bar Harbor","BHB","BHB","KBHB","Hancock County-Bar Harbor Airport","P-N",10562
"Portland","PWM","PWM","KPWM","Portland International Jetport","P-S",876102
"Presque Isle","PQI","PQI","KPQI","Northern Maine Regional Airport at Presque Isle","P-N",13385
"Rockland","RKD","RKD","KRKD","Knox County Regional Airport","P-N",13866
"Baltimore / Glen Burnie","BWI","BWI","KBWI","Baltimore/Washington International Thurgood Marshall Airport","P-L",10848633
"Salisbury","SBY","SBY","KSBY","Salisbury-Ocean City Wicomico Regional Airport","P-N",65489
"Hagerstown","HGR","HGR","KHGR","Hagerstown Regional Airport (Richard A. Henson Field)","P-N [nb 9]",10665
"Boston","BOS","BOS","KBOS","Gen. Edward Lawrence Logan International Airport","P-L",13561814
"Hyannis","HYA","HYA","KHYA","Barnstable Municipal Airport (Boardman/Polando Field)","P-N",124560
"Nantucket","ACK","ACK","KACK","Nantucket Memorial Airport","P-N",201390
"New Bedford","EWB","EWB","KEWB","New Bedford Regional Airport","P-N",12363
"Provincetown","PVC","PVC","KPVC","Provincetown Municipal Airport","P-N",11450
"Vineyard Haven","MVY","MVY","KMVY","Martha's Vineyard Airport","P-N",43904
